City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Moindou,NC,75.15,broken clouds,-21.6924,165.677,Gite de la RYAWA
492,Kawalu,ID,83.53,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
494,Cockburn Town,TC,81.88,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
495,Tura,IN,75.18,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
497,Kanigoro,ID,77.67,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
499,Salta,AR,70.39,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
502,Paso De Carrasco,UY,62.74,light intensity drizzle,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
504,Omihachiman,JP,71.58,overcast clouds,35.1286,136.0976,Hotel New Omi
505,Muisne,EC,75.88,overcast clouds,0.6,-80.0333,Quinta Samay
509,Mecca,SA,79.39,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
511,Sao Miguel Do Tapuio,BR,78.12,broken clouds,-5.5036,-41.3233,Hotel Tropical
515,Goma,CD,63.32,overcast clouds,-1.6792,29.2228,Hotel la Versailles Goma
518,Alugan,PH,82.53,broken clouds,12.2188,125.4808,JM Lodge
519,Soyo,AO,77.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
522,Pandan,PH,84.15,broken clouds,14.0453,124.1694,Bonifacio Lodge
525,Tianpeng,CN,63.63,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
527,Bom Jesus,BR,78.76,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
530,Kui Buri,TH,86.0,overcast clouds,12.0828,99.8543,Rista House & Resort
532,Komatipoort,ZA,66.99,clear sky,-25.4332,31.9548,Kruger View Backpackers
533,Saint-Pierre,RE,77.58,clear sky,-21.3393,55.4781,Lindsey Hôtel
536,Inirida,CO,73.6,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
537,Arroio Dos Ratos,BR,70.43,clear sky,-30.0772,-51.7292,Hotel do Sul
538,Bakel,SN,82.51,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
539,Tagusao,PH,85.37,overcast clouds,9.1924,117.8141,Toledo
542,Kulhudhuffushi,MV,80.56,overcast clouds,6.6221,73.07,Haajy Guest House 1
543,Sao Gabriel Da Cachoeira,BR,73.35,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
545,Gawler,AU,84.25,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
548,Calabozo,VE,74.41,overcast clouds,8.9242,-67.4293,Hotel Giardini
549,Kutum,SD,71.67,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
550,Cozumel,MX,79.0,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
552,Port Pirie,AU,80.69,scattered clouds,-33.1833,138.0167,John Pirie Motor Inn
553,Guerrero Negro,MX,63.37,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
555,Merta,IN,77.65,clear sky,26.65,74.0333,V Resorts Ganthiya
556,Whitianga,NZ,65.1,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
562,Arenapolis,BR,72.18,overcast clouds,-14.4503,-56.8461,Mato Grosso Hotel
564,Riyadh,SA,62.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
566,Kartarpur,IN,71.47,clear sky,31.44,75.4997,ImprovementvTrust Flats
569,Dali,CN,66.11,clear sky,25.7,100.1833,Dali Travelling With Hostel
