City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
157,Aykhal,RU,2021-10-31 23:47:57,66.0,111.5,4.98,94,100,21.85
158,Dicabisagan,PH,2021-10-31 23:47:57,17.0818,122.4157,79.77,80,66,9.22
159,Kendari,ID,2021-10-31 23:47:57,-3.945,122.4989,82.42,80,87,2.13
160,Castro,BR,2021-10-31 23:47:58,-24.7911,-50.0119,58.93,97,97,6.6
161,Narsaq,GL,2021-10-31 23:47:58,60.9167,-46.05,26.82,65,57,7.74
162,Umm Kaddadah,SD,2021-10-31 23:47:58,13.6017,26.6876,84.15,19,20,17.05
163,Krasnoarmeyskiy,RU,2021-10-31 23:47:58,47.0114,42.2072,45.14,90,13,9.13
164,Ormara,PK,2021-10-31 23:47:59,25.2088,64.6357,79.92,33,1,14.18
165,Mokhotlong,LS,2021-10-31 23:47:59,-29.2894,29.0675,51.96,56,64,2.28
166,Yellowknife,CA,2021-10-31 23:43:04,62.456,-114.3525,32.56,96,75,11.5
167,Cabedelo,BR,2021-10-31 23:48:00,-6.9811,-34.8339,79.47,76,69,13.94
168,Touros,BR,2021-10-31 23:48:00,-5.1989,-35.4608,81.5,77,60,15.86
169,Tezu,IN,2021-10-31 23:48:00,27.9167,96.1667,68.56,53,96,2.01
170,Santo Tomas,PH,2021-10-31 23:48:01,14.1079,121.1414,79.54,78,36,8.28
171,Vestmannaeyjar,IS,2021-10-31 23:48:01,63.4427,-20.2734,37.56,69,41,25.43
172,Tafresh,IR,2021-10-31 23:48:02,34.692,50.013,54.43,54,76,1.97
173,Port Lincoln,AU,2021-10-31 23:48:02,-34.7333,135.8667,70.7,41,0,9.17
174,Quelimane,MZ,2021-10-31 23:48:03,-17.8786,36.8883,76.95,88,20,3.0
175,Kodiak,US,2021-10-31 23:48:03,57.79,-152.4072,42.28,93,100,3.83
176,Manado,ID,2021-10-31 23:48:03,1.487,124.8455,83.17,78,20,0.0
177,Staryy Nadym,RU,2021-10-31 23:48:04,65.6118,72.6842,5.14,96,49,5.17
178,Tosya,TR,2021-10-31 23:48:04,41.0155,34.0401,49.55,70,96,1.7
179,Brownsville,US,2021-10-31 23:45:03,25.9018,-97.4975,82.51,61,40,4.0
180,Grindavik,IS,2021-10-31 23:48:04,63.8424,-22.4338,37.35,86,75,23.02
181,Genhe,CN,2021-10-31 23:49:05,50.7833,121.5167,23.65,47,30,2.68
182,Eenhana,NA,2021-10-31 23:49:05,-17.4667,16.3333,70.61,18,20,2.3
183,Sur,OM,2021-10-31 23:49:06,22.5667,59.5289,81.64,55,0,9.4
184,Lebu,CL,2021-10-31 23:46:04,-37.6167,-73.65,52.02,93,72,7.23
185,Oriximina,BR,2021-10-31 23:49:06,-1.7656,-55.8661,80.51,72,78,2.37
186,Banda Aceh,ID,2021-10-31 23:49:07,5.5577,95.3222,78.04,83,98,4.61
187,Goderich,CA,2021-10-31 23:49:07,43.7501,-81.7165,50.92,87,57,16.11
188,Beihai,CN,2021-10-31 23:49:08,21.4833,109.1,71.83,88,91,10.56
